id workload_type submission_time scheduled_by num_tasks cpus_per_task mem_per_task estimated_task_duration queue_time_till_first_scheduled queue_time_till_fully_scheduled makespan data_center_utilization_at_submission on_machines off_machines shutting_down_machines turning_on_machines
43099 Batch 31387.05 OmegaBatch-4 16 0.30 0.50 0.18 0.0000 0.0000 0.18 0.2653 1000 0 0 0
43100 Batch 31404.92 OmegaBatch-1 79 0.30 0.50 306.94 0.0000 0.0000 306.94 0.2653 1000 0 0 0
43101 Batch 31444.66 OmegaBatch-2 396 0.30 0.50 132.60 94.0670 270.8670 390.60 0.2685 1000 0 0 0
43102 Batch 31587.43 OmegaBatch-3 336 0.30 0.50 201.91 0.0000 0.0000 201.91 0.2899 1000 0 0 0
43103 Batch 31593.72 OmegaBatch-4 37 0.30 0.50 120.46 0.0000 0.0000 120.46 0.2899 1000 0 0 0
43104 Batch 31634.83 OmegaBatch-1 220 0.30 0.50 12.26 0.0000 0.0000 58.26 0.2697 1000 0 0 0
43105 Batch 31635.15 OmegaBatch-2 264 0.30 0.50 213.16 241.7861 241.7861 213.16 0.2697 1000 0 0 0
43106 Batch 31670.10 OmegaBatch-3 46 0.30 0.50 189.87 0.0000 0.0000 189.87 0.2949 1000 0 0 0
43107 Batch 31818.86 OmegaBatch-4 396 0.30 0.50 82.20 0.0000 0.0000 244.60 0.2868 1000 0 0 0
43108 Batch 31911.47 OmegaBatch-1 4 0.30 0.50 111.23 0.0000 0.0000 111.23 0.2878 1000 0 0 0
43109 Batch 31914.43 OmegaBatch-2 141 0.30 0.50 77.29 194.1067 194.1067 77.29 0.2881 1000 0 0 0
43110 Batch 31917.74 OmegaBatch-3 119 0.30 0.50 22.57 0.0000 0.0000 48.37 0.2881 1000 0 0 0
43111 Batch 32005.40 OmegaBatch-4 122 0.30 0.50 177.35 56.0588 56.0588 177.35 0.3079 1000 0 0 0
43112 Batch 32005.71 OmegaBatch-1 409 0.30 0.50 4.87 0.0000 0.0000 172.47 0.3079 1000 0 0 0
43113 Batch 32299.30 OmegaBatch-2 394 0.30 0.50 60.82 16.2285 16.2285 60.82 0.2581 1000 0 0 0
43114 Batch 32371.92 OmegaBatch-3 118 0.30 0.50 106.91 0.0000 0.0000 132.51 0.2581 1000 0 0 0
43115 Batch 32431.93 OmegaBatch-4 402 0.30 0.50 18.69 0.0000 205.2000 388.69 0.2965 1000 0 0 0
43116 Batch 32444.86 OmegaBatch-1 161 0.30 0.50 64.29 0.0000 0.0000 64.29 0.2965 1000 0 0 0
43117 Batch 32462.95 OmegaBatch-2 625 0.30 0.50 129.79 0.0000 113.8000 751.59 0.2670 1000 0 0 0
43118 Batch 32466.61 OmegaBatch-3 121 0.30 0.50 45.90 0.0000 0.0000 98.30 0.2670 1000 0 0 0
43119 Batch 32470.70 OmegaBatch-4 958 0.30 0.50 109.64 42.6324 42.6324 109.64 0.2670 1000 0 0 0
43120 Batch 32499.81 OmegaBatch-1 39 0.30 0.50 73.77 0.0000 0.0000 73.77 0.2791 1000 0 0 0
43121 Batch 32612.15 OmegaBatch-2 107 0.30 0.50 190.93 103.7988 103.7988 190.93 0.2581 1000 0 0 0
43122 Batch 32714.81 OmegaBatch-3 195 0.30 0.50 160.62 0.0000 0.0000 201.62 0.3300 1000 0 0 0
