id workload_type submission_time scheduled_by num_tasks cpus_per_task mem_per_task estimated_task_duration queue_time_till_first_scheduled queue_time_till_fully_scheduled makespan data_center_utilization_at_submission on_machines off_machines shutting_down_machines turning_on_machines
3656 Batch 32562.81 MesosBatch 210 0.30 0.50 194.49 4.2749 4.2749 244.29 0.2607 1000 0 0 0
3657 Batch 32633.06 MesosBatch-2 83 0.30 0.50 203.34 22.6609 22.6609 220.94 0.2934 1000 0 0 0
3658 Batch 32640.23 MesosBatch-3 118 0.30 0.50 69.68 139.1525 139.1525 121.68 0.2896 1000 0 0 0
3659 Batch 32665.48 MesosBatch-4 138 0.30 0.50 35.08 7.8510 7.8510 63.68 0.2984 1000 0 0 0
3660 Batch 32677.72 MesosBatch 105 0.30 0.50 213.84 153.6671 153.6671 243.44 0.3046 1000 0 0 0
3661 Batch 32691.90 MesosBatch-2 194 0.30 0.50 37.63 10.0464 10.0464 77.43 0.2951 1000 0 0 0
3662 Batch 32696.99 MesosBatch-3 70 0.30 0.50 168.40 82.3878 149.1723 248.59 0.2951 1000 0 0 0
3663 Batch 32698.13 MesosBatch-4 522 0.30 0.50 127.52 43.6245 43.6245 232.92 0.2951 1000 0 0 0
3664 Batch 32698.33 MesosBatch 33 0.30 0.50 238.46 133.0587 133.0587 268.06 0.2951 1000 0 0 0
3665 Batch 32879.93 MesosBatch-2 119 0.30 0.50 17.16 0.0110 0.0110 41.96 0.3260 1000 0 0 0
3666 Batch 32881.00 MesosBatch-3 90 0.30 0.50 131.70 23.7502 23.7502 150.70 0.3260 1000 0 0 0
3667 Batch 32891.01 MesosBatch-4 525 0.30 0.50 95.34 32.7546 32.7546 201.34 0.3260 1000 0 0 0
3668 Batch 32953.46 MesosBatch 24 0.30 0.50 124.41 26.6403 26.6403 130.21 0.3239 1000 0 0 0
3669 Batch 32959.43 MesosBatch-2 22 0.30 0.50 45.62 15.2585 15.2585 51.02 0.3239 1000 0 0 0
3670 Batch 32989.50 MesosBatch-3 25 0.30 0.50 1.85 0.0110 0.0110 7.85 0.2839 1000 0 0 0
3671 Batch 32990.04 MesosBatch-4 54 0.30 0.50 55.86 5.4813 5.4813 67.66 0.2839 1000 0 0 0
3672 Batch 33019.73 MesosBatch 55 0.30 0.50 121.73 0.0110 0.0110 133.73 0.2870 1000 0 0 0
3673 Batch 33019.97 MesosBatch-2 166 0.30 0.50 194.26 9.7997 9.7997 228.46 0.2870 1000 0 0 0
3674 Batch 33020.09 MesosBatch-3 39 0.30 0.50 16.14 11.6638 11.6638 24.94 0.2870 1000 0 0 0
3675 Batch 33172.48 MesosBatch-4 5 0.30 0.50 114.73 0.0110 0.0110 116.73 0.2706 1000 0 0 0
3676 Batch 33248.51 MesosBatch 170 0.30 0.50 18.36 0.0110 0.0110 53.36 0.2715 1000 0 0 0
3677 Batch 33248.96 MesosBatch-2 242 0.30 0.50 67.71 34.5798 34.5798 117.11 0.2715 1000 0 0 0
3678 Batch 33250.40 MesosBatch-3 144 0.30 0.50 36.04 150.7718 150.7718 96.84 0.2715 1000 0 0 0
3679 Batch 33309.21 MesosBatch-4 149 0.30 0.50 61.42 61.1439 61.1439 92.22 0.2587 1000 0 0 0
3680 Batch 33309.41 MesosBatch 182 0.30 0.50 15.40 23.5398 23.5398 52.80 0.2587 1000 0 0 0
3681 Batch 33309.45 MesosBatch-2 258 0.30 0.50 210.50 91.1995 91.1995 263.10 0.2587 1000 0 0 0
3682 Batch 33347.32 MesosBatch-3 150 0.30 0.50 44.66 53.8535 53.8535 105.46 0.2768 1000 0 0 0
3683 Batch 33375.81 MesosBatch-4 148 0.30 0.50 38.56 130.8319 130.8319 165.56 0.2905 1000 0 0 0
3684 Batch 33404.92 MesosBatch 290 0.30 0.50 71.99 57.0628 57.0628 150.59 0.2698 1000 0 0 0
3685 Batch 33417.04 MesosBatch-2 149 0.30 0.50 20.96 198.9493 213.5750 60.36 0.2698 1000 0 0 0
3686 Batch 33429.33 MesosBatch-3 75 0.30 0.50 152.46 182.2722 182.2722 172.46 0.2698 1000 0 0 0
3687 Batch 33440.58 MesosBatch-4 477 0.30 0.50 59.41 66.0574 99.0093 186.41 0.2698 1000 0 0 0
3688 Batch 33442.09 MesosBatch 93 0.30 0.50 71.33 19.8866 19.8866 149.93 0.2698 1000 0 0 0
3689 Batch 33448.63 MesosBatch-2 38 0.30 0.50 49.37 167.3596 181.9852 88.77 0.2698 1000 0 0 0
3690 Batch 33546.84 MesosBatch-3 15 0.30 0.50 66.88 64.7661 64.7661 86.88 0.3067 1000 0 0 0
3691 Batch 33548.49 MesosBatch-4 130 0.30 0.50 0.33 95.7329 95.7329 27.33 0.3067 1000 0 0 0
3692 Batch 33584.21 MesosBatch 12 0.30 0.50 7.92 28.3629 28.3629 11.32 0.3067 1000 0 0 0
3693 Batch 33692.41 MesosBatch-2 56 0.30 0.50 148.29 0.0110 0.0110 160.49 0.2778 1000 0 0 0
3694 Batch 33698.23 MesosBatch-3 11 0.30 0.50 2.92 48.4098 48.4098 6.12 0.2657 1000 0 0 0
3695 Batch 33698.35 MesosBatch-4 205 0.30 0.50 14.27 6.2789 6.2789 56.27 0.2657 1000 0 0 0
3696 Batch 33854.37 MesosBatch 7 0.30 0.50 34.07 0.0110 0.0110 36.47 0.2581 1000 0 0 0
3697 Batch 33854.57 MesosBatch-2 84 0.30 0.50 18.11 2.2227 2.2227 35.91 0.2581 1000 0 0 0
3698 Batch 33942.35 MesosBatch-3 75 0.30 0.50 327.02 0.0110 0.0110 343.02 0.2581 1000 0 0 0
3699 Batch 33959.01 MesosBatch-4 55 0.30 0.50 138.75 0.0110 0.0110 150.75 0.2638 1000 0 0 0
3700 Batch 34098.36 MesosBatch 275 0.30 0.50 250.13 0.0110 0.0110 306.13 0.2679 1000 0 0 0
3701 Batch 34098.37 MesosBatch-2 261 0.30 0.50 155.13 56.0167 56.0167 241.73 0.2679 1000 0 0 0
3702 Batch 34098.48 MesosBatch-3 17 0.30 0.50 117.07 177.7255 177.7255 177.87 0.2679 1000 0 0 0
3703 Batch 34098.55 MesosBatch-4 155 0.30 0.50 83.42 142.4417 142.4417 118.62 0.2679 1000 0 0 0
3704 Batch 34116.32 MesosBatch 470 0.30 0.50 52.26 288.1909 328.9072 735.06 0.2638 1000 0 0 0
3705 Batch 34135.03 MesosBatch-2 162 0.30 0.50 33.69 19.3566 19.3566 120.29 0.2638 1000 0 0 0
3706 Batch 34136.62 MesosBatch-3 277 0.30 0.50 40.53 139.5806 139.5806 101.33 0.2638 1000 0 0 0
3707 Batch 34145.59 MesosBatch-4 11 0.30 0.50 381.59 95.4008 95.4008 416.79 0.2638 1000 0 0 0
3708 Batch 34147.65 MesosBatch 892 0.30 0.50 173.52 256.8575 297.5738 856.32 0.2638 1000 0 0 0
3709 Batch 34267.65 MesosBatch-2 163 0.30 0.50 30.57 210.2552 210.2552 160.77 0.3161 1000 0 0 0
3710 Batch 34284.59 MesosBatch-3 75 0.30 0.50 53.77 826.3058 826.3058 370.37 0.3164 1000 0 0 0
3711 Batch 34284.74 MesosBatch-4 308 0.30 0.50 265.05 52.2802 52.2802 374.25 0.3164 1000 0 0 0
3712 Batch 34286.01 MesosBatch 420 0.30 0.50 59.52 118.5015 159.2178 742.32 0.3108 1000 0 0 0
3713 Batch 34292.27 MesosBatch-2 115 0.30 0.50 95.22 185.6380 418.0069 509.19 0.3108 1000 0 0 0
